audio_number,Expression RU,Expression L2,Sentence,Surprisal Data
38,еще и,ще і,"засуджений винен ще і в іншому злочині, вчиненому ним до постановлення попереднього вироку.",11.520828247070312
39,что ли,чи що,"дай мені хоч якусь премію, чи що?",10.504039764404297
40,не то что,не те що,"що то люди живуть, не те що ми – світа білого за роботою не бачимо…",13.39651870727539
41,едва ли не,чи не,"до речі, чи не вперше за історію українського слова друкованим способом відтворюється великоруська експресивна лексика.",13.079516410827637
42,ничего подобного,нічого подібного,адже нічого подібного в мене не було зімою.,11.441936492919922
43,да ладно,ну гаразд,"ну гаразд… крізь розчинені двері обширної кам'яної споруди, єдиної кам'яної у всьому селищі, ян побачив три жаркі багаття.",11.431780815124512
44,не иначе как,не інакше як,а трансформаторну будку спорудив не інакше як сам ле гарбузьє.,12.892730712890625
45,почти что,мало не,вона була в стані мало не закінченої вагітности й на протязі якихсь трьох - чотирьох тижнів мусіла народити дитину.,11.718086242675781
46,именно что,саме що,а саме що кавун можна їсти й без ножа та виделки.,11.95728588104248
47,как бы не так,як би не так,"дзуськи! як би не так!.. на, ший!",13.62584114074707
48,всего-навсего,усього-на-всього,"я тепер усього-на-всього армійський капрал, навчаю селюків, яка нога права, яка — ліва.",12.852202415466309
49,несмотря на,незважаючи на,"незважаючи на всі історичні та культурологічні роз'яснення, критики україни як у росії, так і в нашому краї ніяк не можуть відмовитися від абсолютно невиправданої схильності протиставляти українське й галицьке.",11.935898780822754
50,в конце,у кінці,вагони метроплюс завжди знаходяться у кінці поїзда ближче до кейптауна.,12.91238021850586
51,рядом с,поруч з,тепер ми надаємо слово нашому головному економістові. прошу (скромно сідає поруч з юрієм). ,13.711710929870605
52,вплоть до,аж до,лавина голодних смертей наростала з місяця в місяць аж до початку літа.,13.094264030456543
53,в виде,у формі,"фактично, всі комп'ютери, якими сьогодні користуються, працюють завдяки обробці інформації, закодованої у формі бінарних чисел.",12.35777473449707
54,со стороны,із боку,"навіщо їм демонстраційний ефект для решти україни на кшталт того впливу, що був на ндр із боку фрн.",11.508524894714355
55,по поводу,з приводу,сьогодні у верховній раді україни знову відчувається політична метушня з приводу цього закону.,12.588810920715332
56,в силу,з огляду на,"одним словом, ті, кого серед постійних клієнтів не було з огляду на професійну зайнятість.",11.564092636108398
57,недалеко от,неподалік від,"старий дім був неподалік від опери, до нього ще не добралися новітні покупці.",12.694099426269531
58,за счет,за рахунок,кожен має право на відшкодування за рахунок держави чи органів місцевого самоврядування матеріальної та моральної шкоди.,10.98878002166748
59,по окончании,після закінчення,"це сталося зі мною позавчора, 3 березня, великопісної середи, у перший день після закінчення карнавалу. ",10.889211654663086
60,с учетом,з урахуванням,"порядок здійснення права на страйк встановлюється законом з урахуванням необхідності забезпечення національної безпеки, охорони здоров'я, прав і свобод інших людей.",11.674373626708984
