audio_number,Expression RU,Expression L2,Sentence,Surprisal Data
17,после того как,od momentu kiedy,"mniej więcej godzinę od momentu, kiedy zamilkły ostatnie strzały, wolf powiedział, że pojedzie na zwiad i pojechał sam.",11.247027397155762
18,чем больше,im większy,"a im większy sekret, tym większa nagroda.",10.869736671447754
19,хотя и,choć i,"mówię ci to, byś znał moje zamiary, choć i tak z pewnością domyśliłeś się ich po pytaniach, które stawiałem schillingowi.",12.001945495605469
20,оттого что,z tego że,"pomiędzy nią a resztą pracowników nastąpiła krótka przerwa w czasie, wynikła z tego, że wszyscy najpierw podążyli w kierunku źródła hałasu.",9.95088005065918
21,да ведь,ale przecież,ale przecież on tu diabli wiedzą jak narozrabia!,11.751605987548828
22,хотя бы,gdyby chociaż,"i gdyby chociaż los zesłał mu skruchę, gorącą skruchę, która łamie serce, spędza sen z powiek, taką skruchę, której straszliwe męczarnie nasuwają myśl o pętli i topieli!",10.65621566772461
23,тем более,tym bardziej,ani tym bardziej na trzymających stronę albrechta katolików.,11.621968269348145
24,прежде чем,zanim,"zanim się połapią, że to była rozgrywka.",12.550552368164062
25,по слухам,jak głosi fama,"do sierotek, które, jak głosi fama, ostro maszerują na północ i lada moment tu będą.",11.977804183959961
26,таким образом,w taki oto sposób,"w taki oto sposób wiem, kto położył kres romansowi wirydy hornig.",11.810937881469727
27,во всяком случае,w każdym razie,w każdym razie na węgry wywieźć cię nie zdołam.,11.950042724609375
28,между прочим,nawiasem mówiąc,"nawiasem mówiąc, musiałem z tym doktorem uważać.",10.35815715789795
29,можно сказать,można powiedzieć,"umiem załatwiać takie rzeczy. mam to, można powiedzieć, we krwi. od pokoleń.",10.745345115661621
30,в сущности,w gruncie rzeczy,"regułą, a w gruncie rzeczy zasługą przeoryszy było to, że każdy z gości występował z kazaniem lub wykładem dla mniszek.",11.641408920288086
31,как известно,jak wiadomo,"okazało się, że tempe, jak wiadomo, był u szczytu, pani osłabędzka umarła na serce w nędzy.",11.95246410369873
32,по его мнению,moim zdaniem,"podejrzanych nadal było ośniu ludzi, z czego dwoje, moim zdaniem, można wykluczyć z powodów psychologicznych.",11.556026458740234
33,одним словом,jednym słowem,"zrobił to jednym gestem i jednym słowem, reynevan w życiu nie widział równie sprawnie rzuconego zaklęcia.",10.833203315734863
34,что называется,co znaczy,"ot, co znaczy wiedzieć, na jakiego konia postawić!",11.987699508666992
35,судя по всему,wygląda na to,"wygląda na to, że lubimy takie pochwały.",12.576070785522461
36,ради бога,na miłosierdzie boskie,"a, na miłosierdzie boskie! - zawołał - czy to ziemia jest rajem, żeby od niej wszystkiego dobrego razem wymagać było można!",11.850417137145996
37,все же,więc jednak,"odróżnia nas... tak..., więc jednak",13.972868919372559
38,еще и,także i,odkrycie harvey'a ma obok praktycznego także i filozoficzne znaczenie.,11.744637489318848
39,что ли,czy jak,"pozwoliłem. bo co on, zniewolony czy jak? pogadaliśmy.",12.643494606018066
40,к тому же,w dodatku,"sami własny klasztor niszczą, w dodatku z ochotą.",11.364909172058105
41,едва ли не,nieomalże,to było nieomalże ostatnie nasze zwycięstwo.,11.127043724060059
42,ничего подобного,nic podobnego,jej nic podobnego przydarzyć się nie mogło więc to miłosierdzie nie budziło w niej żadnych osobistych uczuć czy też obaw.,10.892096519470215
43,да ладно,co tam,"gdybyś nie palił… co tam, i tak wystarczy tylko na kartofle i chleb.",12.010224342346191
44,не иначе как,nie inaczej jak,"za to zająć się czasami którąś z dziewcząt ze służby, lecz nie inaczej jak w poufnym porozumieniu z marfą pietrowna.",11.31960678100586
45,почти что,nieledwie,"ale baśka moja nieledwie w waćpanny leciech dlatego poczuwam się w tym aby zaś miała czasem jakowąś uciechę grzeczną, a młodemu wiekowi przystojną.",10.366561889648438
46,именно что,to mianowicie,"jeden z praskich mentorów reynevana usiłował dowodzić odnośnie lotów czarodziejskich, a to mianowicie, że są one poddane kontroli mentalnej wysmarowanej maścią lotną czarownicy lub czarownika.",10.601682662963867
47,как бы не так,a zasię,"a zasię! to była, podobna, pierwsza kokota w warszawie!",12.62571907043457
48,всего-навсего,czy jeno,"ha! orłowe gniazdo, ale nie wiadomo, czy się orzeł w nim znajdzie, jako był wiśniowiecki, czy jeno wrona?.",11.86612606048584
49,несмотря на,nie bacząc na,"jeden z krzyżaków, nie bacząc na rozkaz brania żywcem, zamierzył się do pchnięcia w gardło.",12.097647666931152
50,в конце,w końcu,"tę świątynię na szczycie wzgórza wzniesiono w końcu ix wieku, za czasów panowania króla yasovarmana.",10.374913215637207
51,рядом с,u boku,"wiosna idzie, pomyślał sobie reynevan, idąc u boku szarleja rozmokłą miedzą.",10.536365509033203
52,вплоть до,aż do,"nieboskłon ściemniał aż do głębokiego mroku zimnego kosmosu, weszli na orbitę ziemi.",10.145541191101074
53,в виде,w postaci,"ponieważ strome stoki są w stanie utrzymać jedynie ograniczoną ilość śniegu, jego nadmiar będzie staczał się w postaci lawiny.",9.960335731506348
54,со стороны,od strony,od strony bramy wrocławskiej słychać było strzały.,11.589353561401367
55,по поводу,z powodu,"na prostokątnej generalskiej twarzy lemchena pojawiły się zmarszczki oznaczające ni to życzliwy uśmiech, ni to strapienie z powodu odrażającej aury, lub też, być może, z trudem opanowywaną chęć kichnięcia.",10.518928527832031
56,в силу,na mocy,"na mocy rozejmu i układu, wymuszonego na księciu oławskim ludwiku, udostępniono im szpital świętego świerada.",10.918715476989746
57,недалеко от,niedaleko za,"tak więc przerwy robili na świeżym powietrzu. niedaleko za siewierzem, pośród przydrożnej brzeziny.",11.311284065246582
58,за счет,na koszt,w całym kraju korzysta z porady lekarskiej na koszt właścicieli 41% a wcale jej nie doznaje 59.,11.158631324768066
59,по окончании,po skończonym,"zadowolę się jałmużną, datkiem jakim skromnym, a i to nie z góry bynajmniej, lecz po skończonym dziele.",11.840799331665039
60,с учетом,na uwadze,klasyfikacji skazanych dokonuje się mając na uwadze następujące cechy.,11.288406372070312
