audio_number,sentence,surprisal_value
25,"do sierotek, które, jak głosi fama, ostro maszerują na północ i lada moment tu będą.",11.37336254119873
26,"w taki oto sposób wiem, kto położył kres romansowi wirydy hornig.",11.10422420501709
27,w każdym razie na węgry wywieźć cię nie zdołam.,14.453385353088379
28,"nawiasem mówiąc, musiałem z tym doktorem uważać.",9.53032398223877
29,"umiem załatwiać takie rzeczy. mam to, można powiedzieć, we krwi. od pokoleń.",11.062110900878906
30,"regułą, a w gruncie rzeczy zasługą przeoryszy było to, że każdy z gości występował z kazaniem lub wykładem dla mniszek.",11.422592163085938
31,"okazało się, że tempe, jak wiadomo, był u szczytu, pani osłabędzka umarła na serce w nędzy.",12.433034896850586
32,"podejrzanych nadal było ośniu ludzi, z czego dwoje, moim zdaniem, można wykluczyć z powodów psychologicznych.",12.1331148147583
33,"zrobił to jednym gestem i jednym słowem, reynevan w życiu nie widział równie sprawnie rzuconego zaklęcia.",10.945908546447754
34,"ot, co znaczy wiedzieć, na jakiego konia postawić!",12.434117317199707
35,"wygląda na to, że lubimy takie pochwały.",11.150474548339844
36,"a, na miłosierdzie boskie! - zawołał - czy to ziemia jest rajem, żeby od niej wszystkiego dobrego razem wymagać było można!",11.72719669342041
37,"odróżnia nas... tak..., więc jednak",12.588790893554688
38,odkrycie harvey'a ma obok praktycznego także i filozoficzne znaczenie.,12.125336647033691
39,"pozwoliłem. bo co on, zniewolony czy jak? pogadaliśmy.",12.858859062194824
40,"sami własny klasztor niszczą, w dodatku z ochotą.",13.036993980407715
41,to było nieomalże ostatnie nasze zwycięstwo.,12.381953239440918
42,jej nic podobnego przydarzyć się nie mogło więc to miłosierdzie nie budziło w niej żadnych osobistych uczuć czy też obaw.,11.366028785705566
43,"gdybyś nie palił… co tam, i tak wystarczy tylko na kartofle i chleb.",11.341670989990234
44,"za to zająć się czasami którąś z dziewcząt ze służby, lecz nie inaczej jak w poufnym porozumieniu z marfą pietrowna.",12.373246192932129
45,"ale baśka moja nieledwie w waćpanny leciech dlatego poczuwam się w tym aby zaś miała czasem jakowąś uciechę grzeczną, a młodemu wiekowi przystojną.",10.977150917053223
46,"jeden z praskich mentorów reynevana usiłował dowodzić odnośnie lotów czarodziejskich, a to mianowicie, że są one poddane kontroli mentalnej wysmarowanej maścią lotną czarownicy lub czarownika.",10.4143705368042
47,"a zasię! to była, podobna, pierwsza kokota w warszawie!",11.579211235046387
48,"ha! orłowe gniazdo, ale nie wiadomo, czy się orzeł w nim znajdzie, jako był wiśniowiecki, czy jeno wrona?.",12.031349182128906
49,"jeden z krzyżaków, nie bacząc na rozkaz brania żywcem, zamierzył się do pchnięcia w gardło.",12.125286102294922
50,"tę świątynię na szczycie wzgórza wzniesiono w końcu ix wieku, za czasów panowania króla yasovarmana.",10.453118324279785
51,"wiosna idzie, pomyślał sobie reynevan, idąc u boku szarleja rozmokłą miedzą.",9.594735145568848
52,"nieboskłon ściemniał aż do głębokiego mroku zimnego kosmosu, weszli na orbitę ziemi.",10.996313095092773
53,"ponieważ strome stoki są w stanie utrzymać jedynie ograniczoną ilość śniegu, jego nadmiar będzie staczał się w postaci lawiny.",9.39381217956543
54,od strony bramy wrocławskiej słychać było strzały.,11.941360473632812
55,"na prostokątnej generalskiej twarzy lemchena pojawiły się zmarszczki oznaczające ni to życzliwy uśmiech, ni to strapienie z powodu odrażającej aury, lub też, być może, z trudem opanowywaną chęć kichnięcia.",11.423015594482422
56,"na mocy rozejmu i układu, wymuszonego na księciu oławskim ludwiku, udostępniono im szpital świętego świerada.",12.435774803161621
57,"tak więc przerwy robili na świeżym powietrzu. niedaleko za siewierzem, pośród przydrożnej brzeziny.",11.246452331542969
58,w całym kraju korzysta z porady lekarskiej na koszt właścicieli 41% a wcale jej nie doznaje 59.,11.554213523864746
59,"zadowolę się jałmużną, datkiem jakim skromnym, a i to nie z góry bynajmniej, lecz po skończonym dziele.",11.665328979492188
60,klasyfikacji skazanych dokonuje się mając na uwadze następujące cechy.,11.487068176269531
