audio_number,Expression RU,Expression L2,Sentence,Surprisal Data
39,что ли,чи що,"дай мені хоч якусь премію, чи що?",34.575340270996094
40,не то что,не те що,"що то люди живуть, не те що ми – світа білого за роботою не бачимо…",38.50372314453125
41,едва ли не,чи не,"до речі, чи не вперше за історію українського слова друкованим способом відтворюється великоруська експресивна лексика.",35.06325149536133
42,ничего подобного,нічого подібного,адже нічого подібного в мене не було зімою.,34.88676071166992
43,да ладно,ну гаразд,"ну гаразд… крізь розчинені двері обширної кам'яної споруди, єдиної кам'яної у всьому селищі, ян побачив три жаркі багаття.",36.32649612426758
44,не иначе как,не інакше як,а трансформаторну будку спорудив не інакше як сам ле гарбузьє.,35.207000732421875
45,почти что,мало не,вона була в стані мало не закінченої вагітности й на протязі якихсь трьох - чотирьох тижнів мусіла народити дитину.,34.76955795288086
46,именно что,саме що,а саме що кавун можна їсти й без ножа та виделки.,35.818458557128906
47,как бы не так,як би не так,"дзуськи! як би не так!.. на, ший!",34.74476623535156
48,всего-навсего,усього-на-всього,"я тепер усього-на-всього армійський капрал, навчаю селюків, яка нога права, яка — ліва.",34.42884063720703
49,несмотря на,незважаючи на,"незважаючи на всі історичні та культурологічні роз'яснення, критики україни як у росії, так і в нашому краї ніяк не можуть відмовитися від абсолютно невиправданої схильності протиставляти українське й галицьке.",34.32609558105469
50,в конце,у кінці,вагони метроплюс завжди знаходяться у кінці поїзда ближче до кейптауна.,32.29826354980469
51,рядом с,поруч з,тепер ми надаємо слово нашому головному економістові. прошу (скромно сідає поруч з юрієм). ,36.22378921508789
52,вплоть до,аж до,лавина голодних смертей наростала з місяця в місяць аж до початку літа.,34.92841339111328
53,в виде,у формі,"фактично, всі комп'ютери, якими сьогодні користуються, працюють завдяки обробці інформації, закодованої у формі бінарних чисел.",32.796810150146484
54,со стороны,із боку,"навіщо їм демонстраційний ефект для решти україни на кшталт того впливу, що був на ндр із боку фрн.",35.18292999267578
55,по поводу,з приводу,сьогодні у верховній раді україни знову відчувається політична метушня з приводу цього закону.,35.17369842529297
56,в силу,з огляду на,"одним словом, ті, кого серед постійних клієнтів не було з огляду на професійну зайнятість.",34.25285720825195
57,недалеко от,неподалік від,"старий дім був неподалік від опери, до нього ще не добралися новітні покупці.",34.26591491699219
58,за счет,за рахунок,кожен має право на відшкодування за рахунок держави чи органів місцевого самоврядування матеріальної та моральної шкоди.,34.09775924682617
59,по окончании,після закінчення,"це сталося зі мною позавчора, 3 березня, великопісної середи, у перший день після закінчення карнавалу. ",36.2712516784668
60,с учетом,з урахуванням,"порядок здійснення права на страйк встановлюється законом з урахуванням необхідності забезпечення національної безпеки, охорони здоров'я, прав і свобод інших людей.",34.35664367675781
