audio_number,Expression RU,Expression L2,Sentence,Surprisal Data
20,оттого что,proto že,"já, musím se přiznat, jsem ji nechala u chatfieldů také proto, že bych s ní zrovna teď nerada zůstala o samotě.",32.58551025390625
21,да ведь,ale vždyť,"máš pravdu, je nešťastná, ale vždyť to je jen knížka.",33.14480209350586
22,хотя бы,ne méně než,"jistě ne méně než pět set měsíčně, ne-li plných šest set.",30.806856155395508
23,тем более,už vůbec,"a už vůbec není jisté, zdali případné změny režimů budou k lepšímu.",33.36015319824219
24,прежде чем,než dojde,"potrvá mnoho let, než dojde ke stavbě použitelných fúzních reaktorů.",35.1303596496582
25,по слухам,povídalo se,"povídalo se, že předseda byl bílý jako stěna, opile vrávoral a něco blekotal. ",30.632476806640625
26,таким образом,tímto způsobem,tímto způsobem se tam pro rusy otevírá obrovský obchodní potenciál.,30.1577091217041
27,во всяком случае,v každém případě,v každém případě odneste kotě i misku.,30.98872947692871
28,между прочим,mezi jiným,"mezi jiným jsem pozoroval, že dr kramář bude mít potíže.",31.546056747436523
29,можно сказать,lze říci,"lze říci, že trasu letu lze měnit pouze z důvodu zajištění bezpečnosti a ochrany zdraví.",29.864316940307617
30,в сущности,v podstatě,"jediné, co udělám ― jediné, co si troufnu udělat ― bude v podstatě taková hloupost…",31.987070083618164
31,как известно,jak je známo,"jak je známo, bzučet mohou jedině včely.",32.12721633911133
32,по его мнению,podle něj,podle něj je tohle jeden z hlavních důvodů.,31.313190460205078
33,одним словом,krátce řečeno,"krátce řečeno, jako jeho stájník. a také byste ošetřoval psy.",33.57315444946289
34,что называется,jak se říká,"posud nepozbyla své krásy, ani zdraví i byla, jak se říká krev a mléko.",32.102455139160156
35,судя по всему,podle všeho,"nejdříve většina médií tvrdila, že za vraždou podle všeho stojí mafie.",30.471309661865234
36,ради бога,proboha,"lyšíš? páni jdou. proboha, heleno!",35.17091369628906
37,все же,asi spíš,ale asi spíš v tom lepším: na bezpráví a násilí jsem citlivější.,33.274234771728516
38,еще и,a navíc,ovšem jednu z nejdivnějších – a navíc patřičně zpolitizovanou.,30.182098388671875
39,что ли,či co,"a cos ty myslil? prášek, či co?",35.878929138183594
40,не то что,nejen že,"nejen že nemohl vstát, ale připadalo mu, že nesmí ani otevřít oči.",30.734006881713867
41,едва ли не,skoro ještě,některé sceny přečetli jsme několikrát za sebou; celý román jsme přečetli skoro dvakrát po sobě a po druhé líbil se nám skoro ještě víc než po prvé.,32.5987434387207
42,ничего подобного,nic takového,nic takového zjevně není v plánu.,31.851675033569336
43,да ладно,do prčic,"do prčic, jaká loterie?",32.64792251586914
44,не иначе как,nic jiného než,není to nic jiného než klamavá reklama.,32.01420211791992
45,почти что,kousek od,"stál kousek od mostu, co dělí tajland od kambodže.",29.90006446838379
46,именно что,přesně tak,"přesně tak, to je výborná rada. ",35.08087158203125
47,как бы не так,jak by ne,jak by ne! a oni měli určitě víc možností se bránit!,31.96432876586914
48,всего-навсего,všeho všudy,mám všeho všudy šestatřicet krejcarů.,33.3039665222168
49,несмотря на,navzdory tomu,navzdory tomu o ně mají zákazníci nebývalý zájem.,33.20512771606445
50,в конце,na konec,vagony metroplus jsou vždy zařazeny na konec vlaku směrem ke kapskému městu.,30.790367126464844
51,рядом с,v blízkosti,útulný apartmán v blízkosti mumlavských vodopádů.,33.91377639770508
52,вплоть до,až po,já jsem byla opět v jiném stavu a skoro celé těhotenství až po porod nejmladší dcerky jsem prožila ve strachu.,31.40045738220215
53,в виде,ve formě,"má právo zničit všechny překážky ve formě institucí a tradic, jež omezují lidskou svobodu výběru.",34.69661331176758
54,с целью,za účelem,to vše za účelem násilného uchopení moci.,34.462669372558594
55,по поводу,na účet,"najednou v jeho nebohé hlavě cvakla nějaká záklopka, načež se jal vyzývavě vtipkovat na účet tělesných a duševních vlastností dívky.",36.21479415893555
56,в силу,v platnost,"podepsala se roku 1992, ale v platnost vešla v roce 2002.",31.29355812072754
57,недалеко от,nedaleko,"nejdřív ty nové drželi v karanténě v prvním patře, pak je přepravili do cel nedaleko mé místnosti.",31.00664710998535
58,за счет,na útraty,"na útraty vojenského eráru, to se rozumí.",31.371562957763672
59,по окончании,po skončení,"po skončení práce četla, co za den napsali, á viděla, jak se chmuří, pozorně naslouchaje.",30.667497634887695
60,с учетом,s ohledem na,"pokud by však nesouhlasili, musejí připustit, že o dětech rozhodují rodiče, ale nikoli podle své libosti, nýbrž jedině a výhradně s ohledem na jejich zájem.",33.00188064575195
