audio_number,Expression RU,Expression L2,Sentence,Surprisal Data
21,да ведь,ale przecież,ale przecież on tu diabli wiedzą jak narozrabia!,35.002777099609375
22,хотя бы,gdyby chociaż,"i gdyby chociaż los zesłał mu skruchę, gorącą skruchę, która łamie serce, spędza sen z powiek, taką skruchę, której straszliwe męczarnie nasuwają myśl o pętli i topieli!",33.26215362548828
23,тем более,tym bardziej,ani tym bardziej na trzymających stronę albrechta katolików.,32.2845458984375
24,прежде чем,zanim,"zanim się połapią, że to była rozgrywka.",34.77377700805664
25,по слухам,jak głosi fama,"do sierotek, które, jak głosi fama, ostro maszerują na północ i lada moment tu będą.",34.137672424316406
26,таким образом,w taki oto sposób,"w taki oto sposób wiem, kto położył kres romansowi wirydy hornig.",33.44969177246094
27,во всяком случае,w każdym razie,w każdym razie na węgry wywieźć cię nie zdołam.,34.43294906616211
28,между прочим,nawiasem mówiąc,"nawiasem mówiąc, musiałem z tym doktorem uważać.",32.82853698730469
29,можно сказать,można powiedzieć,"umiem załatwiać takie rzeczy. mam to, można powiedzieć, we krwi. od pokoleń.",33.05131530761719
30,в сущности,w gruncie rzeczy,"regułą, a w gruncie rzeczy zasługą przeoryszy było to, że każdy z gości występował z kazaniem lub wykładem dla mniszek.",34.834068298339844
31,как известно,jak wiadomo,"okazało się, że tempe, jak wiadomo, był u szczytu, pani osłabędzka umarła na serce w nędzy.",34.523231506347656
32,по его мнению,moim zdaniem,"podejrzanych nadal było ośniu ludzi, z czego dwoje, moim zdaniem, można wykluczyć z powodów psychologicznych.",34.48575973510742
33,одним словом,jednym słowem,"zrobił to jednym gestem i jednym słowem, reynevan w życiu nie widział równie sprawnie rzuconego zaklęcia.",36.276824951171875
34,что называется,co znaczy,"ot, co znaczy wiedzieć, na jakiego konia postawić!",35.34761428833008
35,судя по всему,wygląda na to,"wygląda na to, że lubimy takie pochwały.",34.06821060180664
36,ради бога,na miłosierdzie boskie,"a, na miłosierdzie boskie! - zawołał - czy to ziemia jest rajem, żeby od niej wszystkiego dobrego razem wymagać było można!",37.29130172729492
37,все же,więc jednak,"odróżnia nas... tak..., więc jednak",35.24961853027344
38,еще и,także i,odkrycie harvey'a ma obok praktycznego także i filozoficzne znaczenie.,31.027875900268555
39,что ли,czy jak,"pozwoliłem. bo co on, zniewolony czy jak? pogadaliśmy.",32.779273986816406
40,к тому же,w dodatku,"sami własny klasztor niszczą, w dodatku z ochotą.",32.90169143676758
41,едва ли не,nieomalże,to było nieomalże ostatnie nasze zwycięstwo.,35.18112564086914
42,ничего подобного,nic podobnego,jej nic podobnego przydarzyć się nie mogło więc to miłosierdzie nie budziło w niej żadnych osobistych uczuć czy też obaw.,34.43764114379883
43,да ладно,co tam,"gdybyś nie palił… co tam, i tak wystarczy tylko na kartofle i chleb.",34.37698745727539
44,не иначе как,nie inaczej jak,"za to zająć się czasami którąś z dziewcząt ze służby, lecz nie inaczej jak w poufnym porozumieniu z marfą pietrowna.",36.4544792175293
45,почти что,nieledwie,"ale baśka moja nieledwie w waćpanny leciech dlatego poczuwam się w tym aby zaś miała czasem jakowąś uciechę grzeczną, a młodemu wiekowi przystojną.",36.5688591003418
46,именно что,to mianowicie,"jeden z praskich mentorów reynevana usiłował dowodzić odnośnie lotów czarodziejskich, a to mianowicie, że są one poddane kontroli mentalnej wysmarowanej maścią lotną czarownicy lub czarownika.",32.46992492675781
47,как бы не так,a zasię,"a zasię! to była, podobna, pierwsza kokota w warszawie!",33.86178970336914
48,всего-навсего,czy jeno,"ha! orłowe gniazdo, ale nie wiadomo, czy się orzeł w nim znajdzie, jako był wiśniowiecki, czy jeno wrona?.",38.316951751708984
49,несмотря на,nie bacząc na,"jeden z krzyżaków, nie bacząc na rozkaz brania żywcem, zamierzył się do pchnięcia w gardło.",36.85102462768555
50,в конце,w końcu,"tę świątynię na szczycie wzgórza wzniesiono w końcu ix wieku, za czasów panowania króla yasovarmana.",32.25471496582031
51,рядом с,u boku,"wiosna idzie, pomyślał sobie reynevan, idąc u boku szarleja rozmokłą miedzą.",33.16191864013672
52,вплоть до,aż do,"nieboskłon ściemniał aż do głębokiego mroku zimnego kosmosu, weszli na orbitę ziemi.",34.97410583496094
53,в виде,w postaci,"ponieważ strome stoki są w stanie utrzymać jedynie ograniczoną ilość śniegu, jego nadmiar będzie staczał się w postaci lawiny.",33.67375183105469
54,со стороны,od strony,od strony bramy wrocławskiej słychać było strzały.,33.537574768066406
55,по поводу,z powodu,"na prostokątnej generalskiej twarzy lemchena pojawiły się zmarszczki oznaczające ni to życzliwy uśmiech, ni to strapienie z powodu odrażającej aury, lub też, być może, z trudem opanowywaną chęć kichnięcia.",30.8186092376709
56,в силу,na mocy,"na mocy rozejmu i układu, wymuszonego na księciu oławskim ludwiku, udostępniono im szpital świętego świerada.",31.116395950317383
57,недалеко от,niedaleko za,"tak więc przerwy robili na świeżym powietrzu. niedaleko za siewierzem, pośród przydrożnej brzeziny.",33.6758918762207
58,за счет,na koszt,w całym kraju korzysta z porady lekarskiej na koszt właścicieli 41% a wcale jej nie doznaje 59.,32.15180206298828
59,по окончании,po skończonym,"zadowolę się jałmużną, datkiem jakim skromnym, a i to nie z góry bynajmniej, lecz po skończonym dziele.",34.39215087890625
60,с учетом,na uwadze,klasyfikacji skazanych dokonuje się mając na uwadze następujące cechy.,31.09296226501465
